doi,title,container,year,authors,cited_by,issns,abstract,query_matched
10.1016/j.amc.2020.125535,A novel metaheuristic optimizer inspired by behavior of jellyfish in ocean,Applied Mathematics and Computation,2021,"Chou, Jui-Sheng; Truong, Dinh-Nhat",358,['0096-3003'],,aquila optimizer
10.1016/j.amc.2019.124872,A multi-strategy enhanced sine cosine algorithm for global optimization and constrained practical engineering problems,Applied Mathematics and Computation,2020,"Chen, Huiling; Wang, Mingjing; Zhao, Xuehua",107,['0096-3003'],,sine cosine algorithm
10.1016/j.amc.2021.126663,Partially-coupled nonlinear parameter optimization algorithm for a class of multivariate hybrid models,Applied Mathematics and Computation,2022,"Zhou, Yihong; Zhang, Xiao; Ding, Feng",79,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2020.125153,Cryptanalysis and constructing S-Box based on chaotic map and backtracking,Applied Mathematics and Computation,2020,"Liu, Hongjun; Kadir, Abdurahman; Xu, Chengbo",65,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2021.126586,Particle swarm intelligence and the evolution of cooperation in the spatial public goods game with punishment,Applied Mathematics and Computation,2022,"Lv, Shaojie; Song, Feifei",29,['0096-3003'],,tunicate swarm
10.1016/j.amc.2020.125464,Numerical schemes and genetic algorithms for the optimal control of a continuous model of supply chains,Applied Mathematics and Computation,2021,"Rarità, Luigi; Stamova, Ivanka; Tomasiello, Stefania",23,['0096-3003'],,ant colony continuous
10.1016/j.amc.2019.124998,Energy flow-guided synchronization between chaotic circuits,Applied Mathematics and Computation,2020,"Yao, Zhao; Zhou, Ping; Alsaedi, Ahmed; Ma, Jun",23,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2020.125831,Optimization of the Kaplan-Yorke dimension in fractional-order chaotic oscillators by metaheuristics,Applied Mathematics and Computation,2021,"Silva-Juárez, Alejandro; Tlelo-Cuautle, Esteban; de la Fraga, Luis Gerardo; Li, Rui",22,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2021.126726,A constrained consensus based optimization algorithm and its application to finance,Applied Mathematics and Computation,2022,"Bae, Hyeong-Ohk; Ha, Seung-Yeal; Kang, Myeongju; Lim, Hyuncheul",16,['0096-3003'],,population based optimization
10.1016/j.amc.2020.125858,A Lyapunov-based direct adaptive controller for the suppression and synchronization of a perturbed nuclear spin generator chaotic system,Applied Mathematics and Computation,2021,"Ahmad, Israr",14,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2024.128618,An evolutionary game with reputation-based imitation-mutation dynamics,Applied Mathematics and Computation,2024,"Feng, Kehuan; Han, Songlin; Feng, Minyu; Szolnoki, Attila",12,['0096-3003'],,mutation strategy evolutionary
10.1016/j.amc.2020.125642,Non parameter-filled function for global optimization,Applied Mathematics and Computation,2021,"Pandiya, Ridwan; Widodo, Widodo; Salmah, ; Endrayanto, Irwan",12,['0096-3003'],,zebra optimization
10.1016/j.amc.2020.125665,Identification of fractional water transport model with ψ-Caputo derivatives using particle swarm optimization algorithm,Applied Mathematics and Computation,2021,"Bohaienko, Vsevolod; Gladky, Anatolij; Romashchenko, Mykhailo; Matiash, Tetiana",11,['0096-3003'],,tunicate swarm
10.1016/j.amc.2019.125004,Two modified DY conjugate gradient methods for unconstrained optimization problems,Applied Mathematics and Computation,2020,"Zhu, Zhibin; Zhang, Dongdong; Wang, Shuo",11,['0096-3003'],,zebra optimization
10.1016/j.amc.2021.126788,Bit cyclic shift method to reinforce digital chaotic maps and its application in pseudorandom number generator,Applied Mathematics and Computation,2022,"Zheng, Jun; Hu, Hanping",9,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2024.128534,Enhancing cooperative evolution in spatial public goods game by particle swarm optimization based on exploration and q-learning,Applied Mathematics and Computation,2024,"Wang, Xianjia; Yang, Zhipeng; Chen, Guici; Liu, Yanli",8,['0096-3003'],,tunicate swarm
10.1016/j.amc.2023.127940,Investigation of chaotic resonance in Type-I and Type-II Morris-Lecar neurons,Applied Mathematics and Computation,2023,"Baysal, Veli; Solmaz, Ramazan; Ma, Jun",8,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2020.125596,On MATLAB experience in accelerating DIRECT-GLce algorithm for constrained global optimization through dynamic data structures and parallelization,Applied Mathematics and Computation,2021,"Stripinis, Linas; Žilinskas, Julius; Casado, Leocadio G.; Paulavičius, Remigijus",8,['0096-3003'],,stochastic global optimization
10.1016/j.amc.2022.127821,Weakly nonlinear stability analysis and study of chaotic Darcy-Benard convection of a combusting fluid,Applied Mathematics and Computation,2023,"Siddheshwar, P.G.; Kanchana, C.; Laroze, D.",7,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2021.126540,Chaotic Signal Induced Delay Decay in Hodgkin-Huxley Neuron,Applied Mathematics and Computation,2021,"Baysal, Veli; Yılmaz, Ergin",6,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2022.127053,On the dynamics of fractional q-deformation chaotic map,Applied Mathematics and Computation,2022,"Ran, Jie; Li, Yu-Qin; Xiong, Yi-Bin",4,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2022.126994,Regional sampled-data synchronization of chaotic neural networks using piecewise-continuous delay dependent Lyapunov functional,Applied Mathematics and Computation,2022,"Han, S.Y.; Kommuri, S.K.; Kwon, O.M.; Lee, S.M.",4,['0096-3003'],,ant colony continuous
10.1016/j.amc.2024.129152,A weighted switching sequence optimization algorithm for static output feedback control synthesis of nonlinear systems,Applied Mathematics and Computation,2025,"Gao, Jingjing; Xie, Xiangpeng",2,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2022.127393,"Extinction, persistence and density function analysis of a stochastic two-strain disease model with drug resistance mutation",Applied Mathematics and Computation,2022,"Liu, Yue",2,['0096-3003'],,mutation strategy evolutionary
10.1016/j.amc.2020.125470,Preconditioning for PDE-constrained optimization with total variation regularization,Applied Mathematics and Computation,2020,"Li, Hongyi; Wang, Chaojie; Zhao, Di",2,['0096-3003'],,zebra optimization
10.1016/j.amc.2024.128677,Particle swarm intelligence promotes cooperation by adapting interaction radii in co-evolutionary games,Applied Mathematics and Computation,2024,"Tian, Yue; Gao, Shun; Li, Haihong; Dai, Qionglin",1,['0096-3003'],,tunicate swarm
10.1016/j.amc.2019.124861,A subspace version of the Wang–Yuan Augmented Lagrangian-Trust Region method for equality constrained optimization,Applied Mathematics and Computation,2020,"Costa, Carina Moreira; Grapiglia, Geovani Nunes",1,['0096-3003'],,global optimization method
10.1016/j.amc.2026.130091,A Lyapunov-based novel fixed-time control scheme for chaotic systems synchronization,Applied Mathematics and Computation,2026,"Shafiq, Muhammad; Ahmad, Israr",0,['0096-3003'],,chaotic optimization algorithm
10.1016/j.amc.2023.128341,Preconditioners based on matrix splitting for the structured systems from elliptic PDE-constrained optimization problems,Applied Mathematics and Computation,2024,"Fan, Hongtao; Li, Yajing; Zhang, Hongbing; Zhu, Xinyun",0,['0096-3003'],,population based optimization
10.1016/j.amc.2021.126778,Approximations of kinetic equations of swarm formation: Convergence and exact solutions,Applied Mathematics and Computation,2022,"Lachowicz, Mirosław; Leszczyński, Henryk; Topolski, Krzysztof A.",0,['0096-3003'],,tunicate swarm
